Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Program.cs,13,0,T:Microsoft.Extensions.DependencyInjection.IdentityServiceCollectionUIExtensions,,,,,"builder.Services      .AddDefaultIdentity<ApplicationUser>(options =>      {          options.Password.RequireNonAlphanumeric = true;          options.Password.RequireUppercase = true;          options.Password.RequireLowercase = true;          options.Password.RequiredLength = 6;          options.SignIn.RequireConfirmedAccount = true;          options.Lockout.AllowedForNewUsers = true;          options.Lockout.DefaultLockoutTimeSpan = TimeSpan.FromMinutes(5);          options.Lockout.MaxFailedAccessAttempts = 3;      })      .AddRoles<ApplicationRole>()      .AddEntityFrameworkStores<ApplicationDbContext>()      .AddAccessRightBasedAuthorization()      .AddAuthorizationCoreUI(options => options.FriendlyAreaName = ""Admin"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Program.cs,13,0,"M:Microsoft.Extensions.DependencyInjection.IdentityServiceCollectionUIExtensions.AddDefaultIdentity``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,System.Action{Microsoft.AspNetCore.Identity.IdentityOptions})",,,,,"builder.Services      .AddDefaultIdentity<ApplicationUser>(options =>      {          options.Password.RequireNonAlphanumeric = true;          options.Password.RequireUppercase = true;          options.Password.RequireLowercase = true;          options.Password.RequiredLength = 6;          options.SignIn.RequireConfirmedAccount = true;          options.Lockout.AllowedForNewUsers = true;          options.Lockout.DefaultLockoutTimeSpan = TimeSpan.FromMinutes(5);          options.Lockout.MaxFailedAccessAttempts = 3;      })      .AddRoles<ApplicationRole>()      .AddEntityFrameworkStores<ApplicationDbContext>()      .AddAccessRightBasedAuthorization()      .AddAuthorizationCoreUI(options => options.FriendlyAreaName = ""Admin"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Program.cs,13,0,T:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions,,,,,"builder.Services      .AddDefaultIdentity<ApplicationUser>(options =>      {          options.Password.RequireNonAlphanumeric = true;          options.Password.RequireUppercase = true;          options.Password.RequireLowercase = true;          options.Password.RequiredLength = 6;          options.SignIn.RequireConfirmedAccount = true;          options.Lockout.AllowedForNewUsers = true;          options.Lockout.DefaultLockoutTimeSpan = TimeSpan.FromMinutes(5);          options.Lockout.MaxFailedAccessAttempts = 3;      })      .AddRoles<ApplicationRole>()      .AddEntityFrameworkStores<ApplicationDbContext>()      .AddAccessRightBasedAuthorization()      .AddAuthorizationCoreUI(options => options.FriendlyAreaName = ""Admin"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Program.cs,13,0,M:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions.AddEntityFrameworkStores``1(Microsoft.AspNetCore.Identity.IdentityBuilder),,,,,"builder.Services      .AddDefaultIdentity<ApplicationUser>(options =>      {          options.Password.RequireNonAlphanumeric = true;          options.Password.RequireUppercase = true;          options.Password.RequireLowercase = true;          options.Password.RequiredLength = 6;          options.SignIn.RequireConfirmedAccount = true;          options.Lockout.AllowedForNewUsers = true;          options.Lockout.DefaultLockoutTimeSpan = TimeSpan.FromMinutes(5);          options.Lockout.MaxFailedAccessAttempts = 3;      })      .AddRoles<ApplicationRole>()      .AddEntityFrameworkStores<ApplicationDbContext>()      .AddAccessRightBasedAuthorization()      .AddAuthorizationCoreUI(options => options.FriendlyAreaName = ""Admin"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Program.cs,9,0,T:Microsoft.Extensions.DependencyInjection.DatabaseDeveloperPageExceptionFilterServiceExtensions,,,,,builder.Services      .AddDbContext<ApplicationDbContext>(options => options.UseSqlite(connectionString))      .AddDatabaseDeveloperPageExceptionFilter();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Program.cs,9,0,M:Microsoft.Extensions.DependencyInjection.DatabaseDeveloperPageExceptionFilterServiceExtensions.AddDatabaseDeveloperPageExceptionFilter(Microsoft.Extensions.DependencyInjection.IServiceCollection),,,,,builder.Services      .AddDbContext<ApplicationDbContext>(options => options.UseSqlite(connectionString))      .AddDatabaseDeveloperPageExceptionFilter();
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Authorization.Core.UI.Tests\Authorization.Core.UI.Tests.csproj,File,Authorization.Core.UI.Tests\Authorization.Core.UI.Tests.csproj,,,Microsoft.Extensions.Identity.Core 9.0.12,,,,,"Microsoft.Extensions.Identity.Core, 9.0.12  Recommendation:  Remove Microsoft.Extensions.Identity.Core, and replace with new package Microsoft.Extensions.Identity.Core 10.0.5"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Authorization.Core.UI.Tests\Authorization.Core.UI.Tests.csproj,File,Authorization.Core.UI.Tests\Authorization.Core.UI.Tests.csproj,,,xunit 2.9.3,,,,,"xunit, 2.9.3  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Authorization.Core.UI.Tests\Authorization.Core.UI.Tests.csproj,File,Authorization.Core.UI.Tests\Authorization.Core.UI.Tests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Authorization.Core.UI.Tests.Integration\Authorization.Core.UI.Tests.Integration.csproj,File,Authorization.Core.UI.Tests.Integration\Authorization.Core.UI.Tests.Integration.csproj,,,Microsoft.AspNetCore.Mvc.Testing 9.0.12,,,,,"Microsoft.AspNetCore.Mvc.Testing, 9.0.12  Recommendation:  Remove Microsoft.AspNetCore.Mvc.Testing, and replace with new package Microsoft.AspNetCore.Mvc.Testing 10.0.5"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Authorization.Core.UI.Tests.Integration\Authorization.Core.UI.Tests.Integration.csproj,File,Authorization.Core.UI.Tests.Integration\Authorization.Core.UI.Tests.Integration.csproj,,,xunit 2.9.3,,,,,"xunit, 2.9.3  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Authorization.Core.UI.Tests.Integration\Authorization.Core.UI.Tests.Integration.csproj,File,Authorization.Core.UI.Tests.Integration\Authorization.Core.UI.Tests.Integration.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Authorization.Core.UI.Tests.Integration\Authorization.Core.UI.Tests.Integration.csproj,File,Authorization.Core.UI.Tests.Integration\PageAccessTests.cs,134,12,T:System.Uri,,,,,"var client = Factory.CreateClient(new WebApplicationFactoryClientOptions              {                  AllowAutoRedirect = false, BaseAddress = new(HostUri)              });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Authorization.Core.UI.Tests.Integration\Authorization.Core.UI.Tests.Integration.csproj,File,Authorization.Core.UI.Tests.Integration\PageAccessTests.cs,134,12,M:System.Uri.#ctor(System.String),,,,,"var client = Factory.CreateClient(new WebApplicationFactoryClientOptions              {                  AllowAutoRedirect = false, BaseAddress = new(HostUri)              });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Authorization.Core.UI.Tests.Integration\Authorization.Core.UI.Tests.Integration.csproj,File,Authorization.Core.UI.Tests.Integration\PageAccessTests.cs,134,12,T:System.Uri,,,,,"var client = Factory.CreateClient(new WebApplicationFactoryClientOptions              {                  AllowAutoRedirect = false, BaseAddress = new(HostUri)              });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Authorization.Core.UI.Tests.Integration\Authorization.Core.UI.Tests.Integration.csproj,File,Authorization.Core.UI.Tests.Integration\PageAccessTests.cs,61,12,T:System.Uri,,,,,"var client = Factory.WithWebHostBuilder(builder => {                  builder.ConfigureTestServices(services =>                  {                      services.AddAuthentication(defaultScheme: ""TestScheme"")                          .AddScheme<AuthenticationSchemeOptions, TestAuthHandler>(                              ""TestScheme"", options => { options.ClaimsIssuer = claimsIssuer; });                  });              }).CreateClient(new()              {                  AllowAutoRedirect = allowRedirect, BaseAddress = new(HostUri)              });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Authorization.Core.UI.Tests.Integration\Authorization.Core.UI.Tests.Integration.csproj,File,Authorization.Core.UI.Tests.Integration\PageAccessTests.cs,61,12,M:System.Uri.#ctor(System.String),,,,,"var client = Factory.WithWebHostBuilder(builder => {                  builder.ConfigureTestServices(services =>                  {                      services.AddAuthentication(defaultScheme: ""TestScheme"")                          .AddScheme<AuthenticationSchemeOptions, TestAuthHandler>(                              ""TestScheme"", options => { options.ClaimsIssuer = claimsIssuer; });                  });              }).CreateClient(new()              {                  AllowAutoRedirect = allowRedirect, BaseAddress = new(HostUri)              });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Authorization.Core.UI.Tests.Integration\Authorization.Core.UI.Tests.Integration.csproj,File,Authorization.Core.UI.Tests.Integration\PageAccessTests.cs,61,12,T:System.Uri,,,,,"var client = Factory.WithWebHostBuilder(builder => {                  builder.ConfigureTestServices(services =>                  {                      services.AddAuthentication(defaultScheme: ""TestScheme"")                          .AddScheme<AuthenticationSchemeOptions, TestAuthHandler>(                              ""TestScheme"", options => { options.ClaimsIssuer = claimsIssuer; });                  });              }).CreateClient(new()              {                  AllowAutoRedirect = allowRedirect, BaseAddress = new(HostUri)              });"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Authorization.Core.UI.Tests.Playwright\Authorization.Core.UI.Tests.Playwright.csproj,File,Authorization.Core.UI.Tests.Playwright\Authorization.Core.UI.Tests.Playwright.csproj,,,Microsoft.AspNetCore.Mvc.Testing 9.0.12,,,,,"Microsoft.AspNetCore.Mvc.Testing, 9.0.12  Recommendation:  Remove Microsoft.AspNetCore.Mvc.Testing, and replace with new package Microsoft.AspNetCore.Mvc.Testing 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Authorization.Core.UI.Tests.Playwright\Authorization.Core.UI.Tests.Playwright.csproj,File,Authorization.Core.UI.Tests.Playwright\Authorization.Core.UI.Tests.Playwright.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Authorization.Core.UI.Tests.Playwright\Authorization.Core.UI.Tests.Playwright.csproj,File,Authorization.Core.UI.Tests.Playwright\Infrastructure\Extensions.cs,72,12,T:System.Net.Http.HttpContent,,,,,"var responseHeaders = response.Content.Headers                  .Select(h => KeyValuePair.Create(h.Key, h.Value.First()));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Authorization.Core.UI.Tests.Playwright\Authorization.Core.UI.Tests.Playwright.csproj,File,Authorization.Core.UI.Tests.Playwright\Infrastructure\Extensions.cs,71,12,T:System.Net.Http.HttpContent,,,,,var responseBody = await response.Content.ReadAsByteArrayAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Authorization.Core.UI.Tests.Playwright\Authorization.Core.UI.Tests.Playwright.csproj,File,Authorization.Core.UI.Tests.Playwright\Infrastructure\Extensions.cs,56,24,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content!.Headers.Add(header.Key, header.Value);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Authorization.Core.UI.Tests.Playwright\Authorization.Core.UI.Tests.Playwright.csproj,File,Authorization.Core.UI.Tests.Playwright\Infrastructure\Extensions.cs,45,12,T:System.Net.Http.HttpContent,,,,,"var requestMessage = new HttpRequestMessage(new(request.Method), request.Url)              {                  Content = content              };"
